imdbID,genres
8435002,Horror
8435002,Thriller
11388416,Action
11388416,Thriller
8338076,Comedy
8338076,Drama
8338076,Romance
10295212,Action
10295212,Biography
10295212,Drama
15090124,Animation
15090124,Fantasy
15090124,Horror
13648212,Drama
9765564,Action
9765564,Adventure
9765564,Drama
9173154,Horror
11285280,Comedy
11285280,Drama
12496706,Horror
12496706,Thriller
14538850,Crime
14757872,Crime
14757872,Thriller
13432484,Action
13432484,Adventure
13432484,Drama
8241000,Animation
8241000,Adventure
8241000,Comedy
10944596,Comedy
10944596,Drama
11742798,Comedy
11742798,Drama
11742798,Fantasy
13372794,Horror
13372794,Mystery
7014378,Animation
7014378,Adventure
7014378,Drama
11771006,Drama
11700260,Comedy
11700260,Drama
12226872,Comedy
12226872,Horror
12226872,Mystery
11881160,Drama
11881160,Fantasy
11881160,Horror
10895576,Comedy
10895576,Drama
6733874,Animation
6733874,Action
6733874,Adventure
11188560,Drama
11188560,Romance
11377298,Action
11377298,Drama
11377298,Thriller
11650226,Action
11650226,Thriller
7026666,Biography
7026666,Crime
7026666,Thriller
9845564,Action
9845564,Adventure
9845564,Crime
15655276,Crime
15655276,Drama
15655276,Thriller
9308390,Biography
9308390,Drama
9308390,History
8456190,Animation
8456190,Comedy
12361178,Crime
12361178,Drama
12361178,Thriller
11807888,Horror
10381014,Drama
10381014,History
10381014,War
10703978,Horror
10665108,Crime
10665108,Drama
10676012,Comedy
10676012,Drama
10676012,Romance
11027830,Crime
11027830,Drama
11027830,Mystery
11953248,Crime
11953248,Drama
11953248,Thriller
13309978,Horror
13309978,Thriller
12982370,Action
12982370,Crime
12982370,Drama
11737466,Drama
13804084,Animation
13804084,Action
13804084,Adventure
14217100,Action
14217100,Crime
14217100,Drama
13097336,Action
13097336,Drama
13097336,History
1587420,Comedy
1587420,Drama
1587420,Family
3696180,Drama
2458948,Animation
2458948,Action
2458948,Drama
13450470,Crime
13450470,Drama
13450470,History
15393650,Crime
15393650,Drama
15393650,Mystery
9844938,Adventure
9844938,Drama
9844938,War
9714030,Comedy
9714030,Drama
11388278,Drama
11388278,Family
11388278,Musical
5932368,Thriller
9141588,Biography
9141588,Drama
14296268,Comedy
14296268,Musical
14296268,Romance
13834480,Animation
13834480,Comedy
13834480,Drama
11892916,Thriller
13502758,Comedy
14164234,Drama
14164234,Romance
14164234,Thriller
9314984,Drama
9314984,Fantasy
9314984,Horror
15198608,Adventure
15198608,Drama
15198608,Thriller
9898844,Horror
14449392,Horror
10309902,Drama
10309902,Mystery
10309902,Thriller
3006472,Adventure
3006472,Drama
14216488,Comedy
14216488,Drama
14216488,Romance
13671954,Comedy
13671954,Drama
13834006,Comedy
14640242,Comedy
14640242,Drama
14640242,Romance
13694706,Action
13694706,Thriller
13079150,Comedy
14315756,Comedy
14315756,Drama
14315756,Romance
11991748,Action
11991748,Adventure
11991748,Drama
10832274,Drama
5344054,Action
5344054,Thriller
13846414,Drama
13846414,Romance
15109082,Drama
16345484,Animation
16345484,Comedy
16345484,Drama
7937254,Crime
7937254,Drama
7937254,Thriller
8740898,Comedy
8740898,Drama
14700948,Comedy
14700948,Romance
13273728,Drama
13273728,Romance
12847812,Drama
9320140,Drama
9320140,Romance
15000314,Animation
15000314,Action
15000314,Adventure
13070602,Adventure
13070602,Comedy
